p,ω,θ,v,ρ
2,1.0,-0.020000000000000028,1,0.821396379308164
2,1.0,-0.020000000000000028,10,0.8213963793081636
2,1.0,-0.020000000000000028,11,0.9846478138984817
2,1.0,-0.020000000000000028,12,1.1184639165523775
2,1.0,-0.020000000000000028,21,1.1184639165523784
2,1.0,-0.020000000000000028,22,1.2790265749201497
2,0.8378970103285274,-0.020000000000000028,1,0.5261425808454836
2,0.8378970103285274,-0.020000000000000028,10,0.5261425808454834
2,0.8378970103285274,-0.1,11,0.49456882314242334
2,0.8378970103285274,-0.020000000000000028,12,0.3717641765629209
2,0.8378970103285274,-0.020000000000000028,21,0.3717641765629209
2,0.8378970103285274,-0.020000000000000028,22,0.3017710335040991
2,0.7088607594936709,-0.020000000000000028,1,0.2911164207753323
2,0.7088607594936709,-0.020000000000000028,10,0.29111642077533234
2,0.7088607594936709,-0.3,11,0.24926350111476192
2,0.7088607594936709,-0.020000000000000028,12,0.08964542592959102
2,0.7088607594936709,-0.020000000000000028,21,0.08964542592959117
2,0.7088607594936709,0.52,22,0.06373717298610453
3,0.65,1.0,1,0.49145438758683757
4,0.64,-0.020000000000000028,1,0.608239907680543
2,1.0,-0.07999999999999997,1,0.45232255281998557
2,1.0,-0.07999999999999997,1,0.45232255281998557
2,1.0,-0.28,11,0.2883658663655356
2,1.0,-0.3,11,0.2883658663655356
2,1.0,-0.020000000000000028,12,0.12309766092816313
2,1.0,0.0,12,0.12309766092816313
2,1.0,-0.020000000000000028,21,0.12309766092816275
2,1.0,0.0,21,0.12309766092816275
2,1.0,0.0,22,0.09142690338236498
2,1.0,1.3,22,0.09142690338236498
